Comment,Designator,Footprint,JLCPCB Part #
2541WR-2X08P,"J101,J102,J103,J104,J105,J106,J107,J108",eurorack-power-16pin,
Faston -12V,P3,power-faston-pin,
Faston GND,P4,power-faston-pin,
Faston +12V,P5,power-faston-pin,
Faston +5V,P6,power-faston-pin,
SS14,"D7,D8",SMA_L4.2-W2.6-LS5.0-RD_1,
0.1uF,"C101,C102,C103,C104,C105,C106,C107,C108,C201,C202,C203,C204,C205,C206,C207,C208",C0603,
Red,LED1/-12V,LED0603-RD,
1k,"R1,R2,R3",R0805,
TestPoint +5V IN,TP3,TestPoint_Pad_D1.5mm,
TestPoint -12V Rail,TP2,TestPoint_Pad_D1.5mm,
SMF12CA_C353317,"D1,D3",SOD-123FL_L2.8-W1.8-LS3.7-BI,
BSMD1812-150-33V,"F2,F3",F1812,
TestPoint +5V Rail,TP5,TestPoint_Pad_D1.5mm,
WJ500V-5.08-2P-14-00A,"P1,P2",CONN-TH_2P-P5.00_WJ500V-5.08-2P,
Green,LED2/+12V,LED0603-FD,
BSMD1812-200-30V,F1,F1812,
SM4007PL,"D2,D4,D6",SOD-123F_L2.8-W1.8-LS3.7-RD,
3pin jumper,JP1,HDR-TH_3P-P2.54-V-M-1,
Blue,LED3/+5V,LED0603-RD,
SMF5.0CA_C908214,D5,SOD-123FL_L2.8-W1.8-LS3.7-BI,
AMS1117-5.0,U1,SOT-223-3_TabPin2,
22uF,C2,C0805,
TestPoint GND,TP6,TestPoint_Pad_D1.5mm,
TestPoint LDO +5V,TP4,TestPoint_Pad_D1.5mm,
TestPoint +12V Rail,TP1,TestPoint_Pad_D1.5mm,
BSMD1812-110-33V,F4,F1812,
10uF,C1,C0805,
